station,date,depth,var1,var2,var3
e1,2019-11-22,0.08,49.00,30.00,13.00
e1,2019-11-22,0.08,46.00,29.00,20.00
e1,2019-11-22,0.08,46.00,23.00,17.00
e1,2019-11-22,0.08,48.00,29.00,22.00
e1,2019-11-22,0.08,53.00,23.00,16.00
e1,2019-11-22,0.08,44.00,24.00,14.00
e1,2019-11-22,0.08,46.00,31.00,12.00
e1,2019-11-22,0.07,46.00,30.00,18.00
e1,2019-11-22,0.08,44.00,26.00,22.00
e1,2019-11-22,0.07,54.00,23.00,16.00
e1,2019-11-22,0.07,46.00,22.00,13.00
e1,2019-11-22,0.08,51.00,26.00,21.00
e1,2019-11-22,0.08,53.00,28.00,18.00
e1,2019-11-22,0.07,48.00,24.00,12.00
e1,2019-11-22,0.08,56.00,24.00,15.00
e1,2019-11-22,0.08,42.00,21.00,18.00
e1,2019-11-22,0.08,54.00,17.00,11.00
e1,2019-11-22,0.07,41.00,29.00,8.00
e1,2019-11-22,0.07,25.00,18.00,9.00
e1,2019-11-22,0.07,56.00,19.00,6.00
e1,2019-11-22,0.07,36.00,15.00,15.00
e1,2019-11-22,0.08,28.00,24.00,5.00
e1,2019-11-22,0.07,35.00,28.00,17.00
e1,2019-11-22,0.08,54.00,20.00,16.00
e1,2019-11-22,0.07,40.00,16.00,15.00
e1,2019-11-22,0.07,39.00,22.00,7.00
e1,2019-11-22,0.07,45.00,16.00,12.00
