station,date,depth,var1,var2,var3
e1,2019-11-21,-0.08,28.00,38.00,20.00
e1,2019-11-21,-0.07,21.00,24.00,25.00
e1,2019-11-21,-0.08,60.00,14.00,8.00
e1,2019-11-21,-0.08,79.00,39.00,11.00
e1,2019-11-21,-0.08,23.00,31.00,26.00
e1,2019-11-21,-0.07,76.00,15.00,9.00
e1,2019-11-21,-0.08,83.00,39.00,12.00
e1,2019-11-21,-0.07,23.00,29.00,26.00
e1,2019-11-21,-0.08,31.00,14.00,25.00
e1,2019-11-21,-0.08,91.00,15.00,9.00
e1,2019-11-21,-0.08,88.00,31.00,8.00
e1,2019-11-21,-0.08,24.00,35.00,26.00
e1,2019-11-21,-0.08,73.00,15.00,8.00
e1,2019-11-21,-0.08,86.00,39.00,12.00
e1,2019-11-21,-0.08,56.00,15.00,16.00
e1,2019-11-21,-0.08,90.00,16.00,10.00
e1,2019-11-21,-0.08,88.00,30.00,9.00
e1,2019-11-21,-0.07,60.00,36.00,8.00
e1,2019-11-21,-0.07,62.00,39.00,19.00
e1,2019-11-21,-0.08,18.00,35.00,26.00
e1,2019-11-21,-0.07,90.00,23.00,11.00
e1,2019-11-21,-0.07,26.00,15.00,10.00
e1,2019-11-21,-0.08,23.00,26.00,22.00
e1,2019-11-21,-0.08,53.00,34.00,30.00
e1,2019-11-21,-0.08,104.00,47.00,30.00
e1,2019-11-21,-0.07,88.00,36.00,29.00
e1,2019-11-21,-0.07,95.00,40.00,28.00
e1,2019-11-21,-0.08,95.00,41.00,24.00
e1,2019-11-21,-0.07,94.00,40.00,23.00
e1,2019-11-21,-0.07,21.00,25.00,25.00
